hgnc_id,symbol,name,locus_group,locus_type,status,location,location_sortable,alias_symbol,alias_name,prev_symbol,prev_name,gene_family,gene_family_id,date_approved_reserved,date_symbol_changed,date_name_changed,date_modified,entrez_id,ensembl_gene_id,vega_id,ucsc_id,ena,refseq_accession,ccds_id,uniprot_ids,pubmed_id,mgd_id,rgd_id,lsdb,cosmic,omim_id,mirbase,homeodb,snornabase,bioparadigms_slc,orphanet,pseudogene.org,horde_id,merops,imgt,iuphar,kznf_gene_catalog,mamit-trnadb,cd,lncrnadb,enzyme_id,intermediate_filament_db,rna_central_ids
HGNC:474,AMY1A,"amylase, alpha 1A (salivary)",protein-coding gene,gene with protein product,Approved,1p21.1,01p21.1,,,AMY1,"amylase, alpha 1A; salivary",,,2001-06-22,,2007-05-03,2016-10-05,276.0,ENSG00000237763,OTTHUMG00000011020,uc001duv.4,,NM_001008221,CCDS30782,P04745,,MGI:104548|MGI:3711220|MGI:3711258|MGI:3714985|MGI:88019|MGI:88020,,,AMY1A,104700,,,,,,,,,,,,,,,3.2.1.1,,
HGNC:6211,ANOS1,anosmin 1,protein-coding gene,gene with protein product,Approved,Xp22.31,Xp22.31,KALIG-1|WFDC19,"anosmin-1|WAP four-disulfide core domain 19|Adhesion molecule-like, X-linked|Kallmann syndrome interval gene 1",KAL|ADMLX|KAL1,Kallmann syndrome 1 sequence,WAP four-disulfide core domain containing|Fibronectin type III domain containing,361|555,1986-01-01,2015-04-10,2015-04-10,2016-10-05,3730.0,ENSG00000011201,OTTHUMG00000021107,,,NM_000216,CCDS14130,P23352,11463336,,RGD:2318138,Mental Retardation database|http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=KAL1,,300836,,,,,122751.0,,,I17.004,,,,,,,,,
HGNC:3547,F8A1,coagulation factor VIII associated 1,protein-coding gene,gene with protein product,Approved,Xq28,Xq28,DXS522E,,F8A,coagulation factor VIII-associated (intronic transcript) 1,,,2000-08-24,2004-11-02,2017-05-12,2017-05-12,8263.0,ENSG00000277203,OTTHUMG00000013500,uc004fmv.4,M34677,NM_012151,CCDS35459,P23610,2110545,MGI:95474,RGD:1566014,,F8A1,305423,,,,,,,,,,,,,,,,,
HGNC:11630,HNF1B,HNF1 homeobox B,protein-coding gene,gene with protein product,Approved,17q12,17q12,LFB3|VHNF1|HNF1beta|MODY5,,TCF2,"transcription factor 2, hepatic; LF-B3; variant hepatic nuclear factor",HNF class homeoboxes,524,1990-05-28,2007-08-24,2007-08-24,2015-09-07,6928.0,ENSG00000275410,OTTHUMG00000188478,uc002hok.5,BC017714,NM_000458,CCDS11324|CCDS58538|CCDS77007,P35680,1677179|10484768,MGI:98505,RGD:3830,,HNF1B,189907,,8445.0,,,158588.0,,,,,,,,,,,,
HGNC:22224,KDM7A,lysine demethylase 7A,protein-coding gene,gene with protein product,Approved,7q34,07q34,KIAA1718,,JHDM1D,jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae)|lysine (K)-specific demethylase 7A,PHD finger proteins|Lysine demethylases,88|485,2007-03-26,2013-11-04,2016-02-12,2016-02-12,80853.0,ENSG00000006459,OTTHUMG00000157327,,,NM_030647,CCDS43658,Q6ZMT4,20023638|20084082,MGI:2443388,RGD:1592650,,,,,,,,,,,,,objectId:2686,,,,,,,
HGNC:6866,MAP4K4,mitogen-activated protein kinase kinase kinase kinase 4,protein-coding gene,gene with protein product,Approved,2q11.2,02q11.2,HGK|NIK|FLH21957,HPK/GCK-like kinase|hepatocyte progenitor kinase-like/germinal center kinase-like kinase,,,Mitogen-activated protein kinase kinase kinase kinases,655,1999-09-07,,,2016-10-05,9448.0,ENSG00000071054,OTTHUMG00000155394,uc061mks.1,AF096300,NM_004834,CCDS56130|CCDS74546|CCDS82487,O95819,9890973|9734811|9135144,MGI:1349394,RGD:1305322,,MAP4K4,604666,,,,,,,,,,objectId:2088,,,,,,,
HGNC:9234,MED1,mediator complex subunit 1,protein-coding gene,gene with protein product,Approved,17q12,17q12,PBP|TRAP220|RB18A|DRIP230|CRSP200|CRSP1,,TRIP2|PPARGBP|PPARBP,PPAR binding protein,Mediator complex,1061,1998-07-15,2007-07-30,2007-07-30,2014-11-19,5469.0,ENSG00000125686,OTTHUMG00000133216,uc002hrv.5,L40366,NM_004774,CCDS11336,Q15648,9325263|10485914,MGI:1100846,RGD:1559552,,MED1,604311,,,,,,,,,,,,,,,,,
HGNC:38964,MIR3613,microRNA 3613,non-coding RNA,"RNA, micro",Approved,13q14.2,13q14.2,hsa-mir-3613,,,,MicroRNAs,476,2010-09-15,,,2016-11-16,100500908.0,ENSG00000264864,,uc021rjp.1,,NR_037407,,,,,,,,,MI0016003,,,,,,,,,,,,,,,,URS000075BBF3
HGNC:7989,NRAS,"NRAS proto-oncogene, GTPase",protein-coding gene,gene with protein product,Approved,1p13.2,01p13.2,N-ras,,,neuroblastoma RAS viral (v-ras) oncogene homolog|neuroblastoma RAS viral oncogene homolog,RAS type GTPase family,389,2001-06-22,,2017-02-27,2017-03-24,4893.0,ENSG00000213281,OTTHUMG00000012059,uc009wgu.4,BC005219,NM_002524,CCDS877,P01111,6705568|11524732,MGI:97376,RGD:3205,NRASbase: Mutation registry for autoimmune lymphoproliferative syndrome type IV|http://structure.bmc.lu.se/idbase/NRASbase/|LRG_92|http://www.lrg-sequence.org/LRG/LRG_92,NRAS,164790,,,,,221346.0,,,,,objectId:2823,,,,,,,
HGNC:9524,PSG7,pregnancy specific beta-1-glycoprotein 7 (gene/pseudogene),protein-coding gene,gene with protein product,Approved,19q13.31,19q13.31,,,,pregnancy specific beta-1-glycoprotein 7,Pregnancy specific glycoproteins,1315,1991-09-13,,2010-02-26,2016-10-05,5676.0,ENSG00000221878,OTTHUMG00000151125,uc060zja.1,,NM_001206650,CCDS77310,Q13046,,,,,,176396,,,,,,,,,,,,,,,,,
