feature_id,feature_name,dataset,gene_symbol,entrez_id
ANOS1_(3730)_CN,ANOS1 (3730),CN,ANOS1,3730.0
C17orf99_(100141515)_CN,C17orf99 (100141515),CN,C17orf99,100141515.0
C1orf74_(148304)_CN,C1orf74 (148304),CN,C1orf74,148304.0
CDK12_(51755)_CN,CDK12 (51755),CN,CDK12,51755.0
HNF1B_(6928)_CN,HNF1B (6928),CN,HNF1B,6928.0
KDM7A_(80853)_CN,KDM7A (80853),CN,KDM7A,80853.0
LUM_(4060)_CN,LUM (4060),CN,LUM,4060.0
MAP4K4_(9448)_CN,MAP4K4 (9448),CN,MAP4K4,9448.0
MED1_(5469)_CN,MED1 (5469),CN,MED1,5469.0
MIR3613_(100500908)_CN,MIR3613 (100500908),CN,MIR3613,100500908.0
MIR6081_(102466518)_CN,MIR6081 (102466518),CN,MIR6081,102466518.0
NRAS_(4893)_CN,NRAS (4893),CN,NRAS,4893.0
NXT1_(29107)_CN,NXT1 (29107),CN,NXT1,29107.0
PSG7_(5676)_CN,PSG7 (5676),CN,PSG7,5676.0
SOX10_(6663)_CN,SOX10 (6663),CN,SOX10,6663.0
SUSD2_(56241)_CN,SUSD2 (56241),CN,SUSD2,56241.0
SWI5_(375757)_CN,SWI5 (375757),CN,SWI5,375757.0
TNS2_(23371)_CN,TNS2 (23371),CN,TNS2,23371.0
TP53TG3_(24150)_CN,TP53TG3 (24150),CN,TP53TG3,24150.0
TP53TG3D_(729264)_CN,TP53TG3D (729264),CN,TP53TG3D,729264.0
TRIL_(9865)_CN,TRIL (9865),CN,TRIL,9865.0
UNC93B1_(81622)_CN,UNC93B1 (81622),CN,UNC93B1,81622.0
VMP1_(81671)_CN,VMP1 (81671),CN,VMP1,81671.0
AML_Lin,AML,Lin,,
bone_Lin,bone,Lin,,
colorectal_Lin,colorectal,Lin,,
lung_Lin,lung,Lin,,
melanoma_Lin,melanoma,Lin,,
osteosarcoma_Lin,osteosarcoma,Lin,,
skin_Lin,skin,Lin,,
urinary_tract_Lin,urinary_tract,Lin,,
AMY1A_(276)_MutDam,AMY1A (276),MutDam,AMY1A,276.0
C1orf74_(148304)_MutDam,C1orf74 (148304),MutDam,C1orf74,148304.0
HNF1B_(6928)_MutDam,HNF1B (6928),MutDam,HNF1B,6928.0
KAL1_(3730)_MutDam,KAL1 (3730),MutDam,KAL1,3730.0
MAP4K4_(9448)_MutDam,MAP4K4 (9448),MutDam,MAP4K4,9448.0
MED1_(5469)_MutDam,MED1 (5469),MutDam,MED1,5469.0
NRAS_(4893)_MutDam,NRAS (4893),MutDam,NRAS,4893.0
SOX10_(6663)_MutDam,SOX10 (6663),MutDam,SOX10,6663.0
SWI5_(375757)_MutDam,SWI5 (375757),MutDam,SWI5,375757.0
TENC1_(23371)_MutDam,TENC1 (23371),MutDam,TENC1,23371.0
UNC93B1_(81622)_MutDam,UNC93B1 (81622),MutDam,UNC93B1,81622.0
NRAS_(4893)_MutHot,NRAS (4893),MutHot,NRAS,4893.0
SOX10_(6663)_MutHot,SOX10 (6663),MutHot,SOX10,6663.0
TENC1_(23371)_MutHot,TENC1 (23371),MutHot,TENC1,23371.0
AMACR_(23600)_MutDrv,AMACR (23600),MutDrv,AMACR,23600.0
AMY1A_(276)_MutDrv,AMY1A (276),MutDrv,AMY1A,276.0
C1orf74_(148304)_MutDrv,C1orf74 (148304),MutDrv,C1orf74,148304.0
F8A1_(8263)_MutDrv,F8A1 (8263),MutDrv,F8A1,8263.0
HNF1B_(6928)_MutDrv,HNF1B (6928),MutDrv,HNF1B,6928.0
KAL1_(3730)_MutDrv,KAL1 (3730),MutDrv,KAL1,3730.0
MAP4K4_(9448)_MutDrv,MAP4K4 (9448),MutDrv,MAP4K4,9448.0
